iter	Passed	Remaining
0	2	199
1	6	295
2	7	257
3	10	248
4	11	225
5	13	207
6	14	197
7	16	186
8	17	178
9	18	170
10	20	164
11	22	167
12	24	165
13	26	162
14	28	160
15	29	156
16	31	151
17	32	147
18	33	143
19	35	142
20	39	149
21	41	146
22	43	144
23	46	147
24	49	147
25	53	151
26	55	149
27	58	150
28	60	147
29	62	145
30	64	142
31	67	143
32	69	141
33	71	138
34	73	135
35	82	146
36	85	144
37	89	145
38	91	143
39	96	144
40	98	141
41	99	137
42	101	134
43	108	137
44	112	137
45	115	135
46	118	133
47	120	130
48	122	127
49	124	124
50	127	122
51	129	119
52	132	117
53	134	114
54	135	111
55	138	108
56	140	105
57	142	102
58	143	99
59	146	97
60	148	94
61	149	91
62	153	89
63	155	87
64	157	84
65	159	82
66	161	79
67	163	77
68	168	75
69	170	72
70	172	70
71	173	67
72	175	65
73	178	62
74	180	60
75	183	57
76	185	55
77	187	52
78	189	50
79	191	47
80	193	45
81	197	43
82	199	40
83	201	38
84	203	35
85	205	33
86	208	31
87	211	28
88	213	26
89	215	23
90	217	21
91	220	19
92	229	17
93	234	14
94	237	12
95	243	10
96	245	7
97	248	5
98	250	2
99	252	0
