iter	Passed	Remaining
0	137	137121
1	138	69120
2	139	46522
3	142	35434
4	145	28968
5	148	24556
6	151	21440
7	152	18897
8	153	16894
9	155	15374
10	157	14156
11	158	13064
12	160	12171
13	161	11405
14	163	10710
15	164	10109
16	165	9582
17	167	9127
18	168	8714
19	172	8440
20	174	8125
21	175	7812
22	177	7542
23	179	7282
24	180	7052
25	182	6846
26	185	6682
27	187	6500
28	189	6342
29	191	6181
30	193	6034
31	194	5897
32	196	5757
33	199	5668
34	203	5616
35	205	5501
36	207	5398
37	209	5302
38	211	5208
39	213	5123
40	215	5045
41	217	4956
42	218	4869
43	220	4792
44	222	4716
45	223	4645
46	226	4583
47	229	4546
48	232	4510
49	235	4467
50	238	4435
51	240	4380
52	243	4349
53	245	4295
54	246	4238
55	248	4187
56	250	4142
57	251	4091
58	253	4042
59	255	3997
60	257	3957
61	259	3930
62	261	3891
63	263	3848
64	264	3807
65	266	3767
66	267	3729
67	269	3690
68	272	3683
69	274	3649
70	276	3619
71	278	3583
72	279	3547
73	281	3517
74	282	3488
75	284	3458
76	286	3433
77	288	3408
78	290	3381
79	291	3353
80	293	3326
81	295	3307
82	296	3272
83	297	3244
84	299	3225
85	304	3231
86	306	3219
87	308	3201
88	310	3177
89	312	3156
90	314	3142
91	323	3190
92	329	3214
93	337	3248
94	339	3236
95	355	3349
96	358	3335
97	366	3370
98	369	3360
99	373	3358
100	376	3347
101	381	3356
102	384	3351
103	387	3340
104	391	3341
105	402	3397
106	405	3383
107	410	3386
108	413	3379
109	417	3375
110	420	3365
111	427	3386
112	430	3376
113	432	3363
114	435	3350
115	438	3339
116	440	3322
117	442	3309
118	445	3298
119	448	3289
120	451	3277
121	453	3260
122	456	3256
123	458	3236
124	459	3219
125	462	3205
126	463	3184
127	464	3167
128	466	3149
129	470	3151
130	473	3142
131	476	3132
132	479	3122
133	481	3112
134	484	3104
135	487	3096
136	490	3087
137	492	3077
138	495	3068
139	498	3059
140	510	3111
141	512	3093
142	516	3094
143	519	3085
144	521	3075
145	524	3070
146	528	3069
147	533	3068
148	535	3059
149	538	3050
150	551	3099
151	554	3094
152	557	3085
153	560	3078
154	567	3094
155	570	3087
156	573	3078
157	575	3069
158	579	3066
159	582	3058
160	583	3042
161	591	3058
162	602	3093
163	606	3090
164	611	3095
165	615	3092
166	619	3092
167	623	3088
168	633	3113
169	635	3103
170	639	3099
171	645	3106
172	649	3104
173	652	3096
174	654	3087
175	658	3084
176	740	3440
177	833	3848
178	836	3835
179	838	3820
180	841	3807
181	845	3801
182	848	3787
183	851	3774
184	854	3762
185	856	3749
186	862	3748
187	882	3809
188	895	3841
189	897	3828
190	900	3814
191	903	3801
192	905	3787
193	911	3786
194	914	3774
195	919	3770
196	921	3757
197	936	3794
198	942	3793
199	946	3784
200	950	3776
201	953	3766
202	958	3762
203	962	3757
204	966	3748
205	972	3749
206	975	3737
207	983	3743
208	988	3742
209	995	3744
210	998	3733
211	1012	3765
212	1032	3814
213	1038	3812
214	1043	3809
215	1049	3810
216	1053	3800
217	1057	3792
218	1060	3781
219	1089	3864
220	1102	3887
221	1114	3904
222	1117	3893
223	1120	3881
224	1124	3872
225	1133	3880
226	1135	3868
227	1139	3858
228	1144	3852
229	1146	3839
230	1150	3829
231	1153	3819
232	1160	3819
233	1163	3809
234	1166	3797
235	1169	3785
236	1173	3778
237	1176	3766
238	1179	3756
239	1183	3747
240	1201	3783
241	1207	3783
242	1210	3771
243	1213	3761
244	1222	3768
245	1228	3764
246	1230	3752
247	1233	3739
248	1238	3734
249	1249	3747
250	1255	3747
251	1259	3737
252	1262	3726
253	1264	3715
254	1269	3708
255	1272	3698
256	1276	3689
257	1279	3679
258	1282	3669
259	1285	3659
260	1300	3682
261	1304	3673
262	1307	3663
263	1312	3658
264	1315	3647
265	1317	3635
266	1320	3624
267	1322	3613
268	1326	3603
269	1329	3593
270	1331	3582
271	1339	3586
272	1344	3580
273	1352	3583
274	1355	3574
275	1360	3568
276	1367	3568
277	1370	3559
278	1375	3553
279	1377	3542
280	1380	3532
281	1383	3523
282	1386	3513
283	1391	3508
284	1394	3498
285	1397	3489
286	1400	3479
287	1404	3473
288	1407	3463
289	1415	3465
290	1418	3455
291	1427	3461
292	1431	3453
293	1434	3443
294	1439	3439
295	1445	3437
296	1448	3427
297	1452	3421
298	1455	3412
299	1463	3415
300	1468	3410
301	1471	3401
302	1474	3391
303	1476	3380
304	1479	3370
305	1483	3365
306	1486	3355
307	1491	3350
308	1495	3343
309	1508	3358
310	1512	3350
311	1522	3356
312	1524	3346
313	1527	3336
314	1532	3332
315	1535	3323
316	1537	3312
317	1540	3304
318	1543	3295
319	1548	3289
320	1551	3281
321	1554	3273
322	1557	3263
323	1561	3258
324	1564	3249
325	1567	3240
326	1570	3231
327	1578	3233
328	1581	3224
329	1583	3215
330	1586	3206
331	1589	3197
332	1593	3192
333	1596	3183
334	1599	3174
335	1601	3165
336	1604	3156
337	1611	3155
338	1614	3147
339	1616	3138
340	1619	3130
341	1624	3124
342	1628	3118
343	1631	3111
344	1635	3104
345	1637	3094
346	1638	3084
347	1640	3073
348	1641	3062
349	1642	3051
350	1644	3040
351	1645	3029
352	1647	3019
353	1649	3009
354	1651	3001
355	1654	2992
356	1655	2982
357	1657	2972
358	1660	2964
359	1662	2954
360	1664	2945
361	1668	2940
362	1670	2930
363	1671	2920
364	1673	2910
365	1674	2901
366	1676	2891
367	1678	2881
368	1679	2872
369	1682	2864
370	1684	2855
371	1686	2846
372	1688	2838
373	1690	2829
374	1692	2820
375	1694	2812
376	1699	2809
377	1702	2802
378	1707	2797
379	1709	2788
380	1712	2783
381	1715	2774
382	1716	2765
383	1718	2757
384	1720	2748
385	1722	2739
386	1724	2730
387	1727	2724
388	1728	2715
389	1730	2706
390	1731	2697
391	1733	2689
392	1735	2680
393	1737	2672
394	1739	2663
395	1742	2658
396	1744	2649
397	1746	2641
398	1747	2632
399	1749	2624
400	1751	2616
401	1753	2607
402	1755	2599
403	1757	2593
404	1759	2584
405	1760	2576
406	1763	2569
407	1765	2562
408	1767	2554
409	1769	2546
410	1772	2540
411	1774	2531
412	1775	2523
413	1777	2515
414	1778	2507
415	1780	2499
416	1782	2491
417	1783	2483
418	1787	2477
419	1788	2469
420	1790	2461
421	1791	2453
422	1792	2445
423	1794	2437
424	1795	2429
425	1797	2421
426	1799	2414
427	1802	2408
428	1804	2401
429	1806	2394
430	1808	2387
431	1810	2380
432	1812	2373
433	1814	2366
434	1817	2360
435	1818	2352
436	1820	2345
437	1822	2337
438	1823	2330
439	1825	2323
440	1827	2315
441	1828	2308
442	1832	2303
443	1834	2296
444	1835	2289
445	1837	2282
446	1839	2275
447	1840	2268
448	1842	2260
449	1843	2253
450	1847	2249
451	1849	2242
452	1851	2235
453	1853	2228
454	1854	2221
455	1856	2214
456	1857	2207
457	1861	2202
458	1863	2195
459	1865	2189
460	1867	2183
461	1869	2176
462	1870	2169
463	1872	2163
464	1875	2158
465	1877	2152
466	1879	2145
467	1881	2139
468	1883	2132
469	1884	2125
470	1886	2118
471	1887	2111
472	1892	2108
473	1895	2103
474	1898	2098
475	1900	2092
476	1902	2086
477	1905	2081
478	1907	2075
479	1909	2068
480	1911	2061
481	1912	2055
482	1914	2048
483	1916	2042
484	1917	2036
485	1921	2032
486	1923	2026
487	1925	2020
